Star,Temperature,L,R,A_M,Color,Spectral_Class
1,3068,0.0024,0.17,16.12,Red,M
2,3042,0.0005,0.1542,16.6,Red,M
3,2600,0.0003,102,18.7,Red,M
4,2800,0.0002,0.16,16.65,Red,M
5,1939,0.000138,103,20.06,Red,M
6,2840,0.00065,0.11,16.98,Red,M
7,2637,0.00073,127,17.22,Red,M
8,2600,0.0004,96,17.4,Red,M
9,2650,0.00069,0.11,17.45,Red,M
10,2700,0.00018,0.13,16.05,Red,M
11,3600,0.0029,0.51,10.69,Red,M
12,3129,0.0122,0.3761,11.79,Red,M
13,3134,0.0004,196,13.21,Red,M
14,3628,0.0055,393,10.48,Red,M
15,2650,0.0006,0.14,11782,Red,M
16,3340,0.0038,0.24,13.07,Red,M
17,2799,0.0018,0.16,14.79,Red,M
18,3692,0.00367,0.47,10.8,Red,M
19,3192,0.00362,0.1967,13.53,Red,M
20,3441,39,351,11.18,Red,M
21,25000,56,0.0084,10.58,Blue White,B
22,7740,0.00049,0.01234,14.02,White,A
23,7220,0.00017,11,14.23,White,F
24,8500,0.0005,0.01,14.5,White,A
25,16500,13,14,11.89,Blue White,B
26,12990,0.000085,0.00984,12.23,Yellowish White,F
27,8570,0.00081,0.0097,14.2,Blue white,A
28,7700,0.00011,0.0128,14.47,Yellowish White,F
29,11790,0.00015,11,12.59,Yellowish White,F
30,7230,0.00008,13,14.08,Pale yellow orange,F
31,39000,204000,10.6,-4.7,Blue,O
32,30000,28840,6.3,-4.2,Blue-white,B
33,15276,1136,7.2,-1.97,Blue-white,B
34,9700,74,2.89,0.16,Whitish,B
35,5800,0.81,0.9,5.05,yellow-white,F
36,8052,8.7,1.8,2.42,Whitish,A
37,6757,1.43,1.12,2.41,yellow-white,F
38,6380,1.35,0.98,2.93,yellow-white,F
39,5936,1357,1106,4.46,yellow-white,F
40,5587,819,0.99,5.03,yellow-white,F
41,3826,200000,19,-6.93,Red,M
42,3365,340000,23,-6.2,Red,M
43,3270,150000,88,-6.02,Red,M
44,3200,195000,17,-7.22,Red,M
45,3008,280000,25,-6,Red,M
46,3600,320000,29,-6.6,Red,M
47,3575,123000,45,-6.78,Red,M
48,3574,200000,89,-5.24,Red,M
49,3625,184000,84,-6.74,Red,M
50,33750,220000,26,-6.1,Blue,B
51,3490,270000,1520,-9.4,Red,M
52,3750,283000,1260,-7.63,Red,M
53,3834,272000,1183,-9.2,Red,M
54,3749,550000,1648,-8.05,Orange,M
55,3650,310000,1324,-7.79,Red,M
56,3450,263000,1349,-11.75,Red,M
57,3660,363000,1673,-11.92,Red,M
58,3450,174000,1284,-11.28,Red,M
59,3752,209000,955,-11.24,Red,M
60,3535,195000,1546,-11.36,Red,M
61,3341,0.0056,57,16.23,Red,M
62,3432,0.00067,0.19,16.94,Red,M
63,2983,0.00024,94,16.09,Red,M
64,2835,0.00034,0.0918,16.96,Red,M
65,2935,0.00014,116,18.89,Red,M
66,3295,0.00098,132,17.13,Red,M
67,2945,0.00032,93,18.34,Red,M
68,2817,0.00098,0.0911,16.45,Red,M
69,2774,0.00036,118,17.39,Red,M
70,2871,0.00072,0.12,19.43,Red,M
71,3345,21,273,12.3,Red,M
72,3607,22,0.38,10.12,Red,M
73,3304,0.0085,0.18,13.2,Red,M
74,3150,0.0088,0.35,11.94,Red,M
75,3550,4,291,10.89,Red,M
76,3180,1,0.35,11.76,Red,M
77,2890,0.0034,0.24,13.46,Red,M
78,3342,0.0015,307,11.87,Red,M
79,2621,0.0006,98,12.81,Red,M
80,3158,0.00135,161,13.98,Red,M
81,7100,0.00029,12,14.09,White-Yellow,F
82,10574,0.00014,0.0092,12.02,White,F
83,8930,0.00056,0.0095,13.78,white,A
84,17200,0.00098,15,12.45,Blue White,B
85,14100,0.00067,0.0089,12.17,Blue White,B
86,9675,0.00045,0.0109,13.98,Blue White,A
